cluster	size	fraction	silhouette	mean_dist_to_center	Sequence length (median)	length (median)	Optimum pH (median)	Melting temperature (median)	Optimum temp. (median)	Relative aggregation propensity (median)	MW (median)	pI (median)	GRAVY (median)	aromaticity (median)	instability_index (median)	net_charge_pH7 (median)	acidic_count (median)	basic_count (median)	acidic_ratio (median)	basic_ratio (median)	ED_RK_ratio (median)	ED_IK_ratio (median)	boltz_apo_ptm (median)	boltz_apo_plddt (median)	Identity closest query (median)	Identity closest known (median)	Identity closest all (median)	Kingdom (top)	Salinity (top)	Temp. range (top)	Biotic relationship (top)	Disease (top)	Transmembrane (top)	tax_status (top)	superkingdom (top)	phylum (top)	class (top)	PSPG 1 (top)	PSPG 2 (top)
background	9974	1.0			400.0	400.0	7.501	49.4		0.774	43897.301	5.256	-0.101	0.072	40.882	-12.779	52.0	36.0	0.129	0.091	1.359	2.263	0.886	0.869	41.5	41.5	99.0	B (100%)	Mesophilic, Moderate halophilic, Non-halophilic (40%)	Mesophilic (94%)	Free living (82%)	insecticide (33%)	o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (57%)	Actinomycetes (57%)	P (100%)	Q (100%)
0	1298	0.1301	0.4686	0.0957	388.0	388.0	7.384	47.62		0.75	39934.987	5.78	0.163	0.031	37.205	-5.758	41.0	36.0	0.106	0.092	1.164	2.625			57.8	57.8	98.4	B (100%)	Mesophilic (83%)	Mesophilic (99%)	Free living, Parasite, Endosymbiont, Host, Intracellular (64%)	Tuberculosis, caseous pneumonia, tuberculosis, infiltrative tuberculosis, Extra Pulmonary Tuberculosis (63%)	o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (100%)	Actinomycetes (100%)	P (100%)	Q (100%)
1	1993	0.1998	0.436	0.1002	400.0	400.0	7.489	45.51		1.33	45282.123	5.35	-0.167	0.1	38.549	-10.689	52.0	40.0	0.131	0.1	1.262	0.825			37.8	37.8	99.5	B (100%)	Mesophilic, Moderate halophilic, Non-halophilic (59%)	Mesophilic (99%)	Free living (97%)	insecticide (56%)	o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (99%)	P (100%)	Q (100%)
2	168	0.0168	0.2357	0.1556	385.5	385.5	7.543	53.765		0.836	40856.664	5.602	0.116	0.061	37.973	-8.49	43.5	35.0	0.111	0.09	1.257	3.477			26.3	26.3	91.15	B (100%)		Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (89%)	Actinomycetes (86%)	P (100%)	Q (100%)
3	2196	0.2202	0.2655	0.0781	400.0	400.0	7.493	51.755		0.456	43465.565	4.877	-0.162	0.07	42.427	-22.454	57.0	34.0	0.141	0.085	1.676	2.522			74.4	74.4	99.0	B (100%)	Mesophilic (50%)	Mesophilic (94%)	Free living (95%)		o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (99%)	Actinomycetes (99%)	P (100%)	Q (100%)
4	472	0.0473	0.135	0.1731	419.0	419.0	7.639	51.33		0.891	45744.155	7.779	-0.027	0.078	42.033	1.289	41.0	41.0	0.1	0.099	0.976	1.362			27.2	27.2	79.15	B (100%)	Mesophilic (100%)	Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Acidobacteriota (31%)	Terriglobia (32%)	P (100%)	Q (100%)
5	773	0.0775	0.2433	0.1282	406.0	406.0	7.474	57.24		0.664	43575.676	7.181	-0.044	0.066	51.018	0.416	39.0	40.0	0.096	0.098	1.0	3.3			30.9	30.9	98.7	B (100%)	Non-halophilic (100%)	Mesophilic (100%)	Free living (83%)	Soft tissue lesions (67%)	o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (92%)	Actinomycetes (92%)	P (100%)	Q (100%)
6	797	0.0799	0.0687	0.1681	401.0	401.0	7.565	46.77		1.316	44865.514	5.389	-0.065	0.097	37.804	-11.352	47.0	35.0	0.117	0.087	1.333	1.091			32.9	32.9	97.5	B (100%)	Mesophilic (40%)	Mesophilic (91%)	Free living (93%)	No (100%)	o (98%)	ok (100%)	Bacteria (100%)	Bacillota (88%)	Bacilli (75%)	P (100%)	Q (100%)
7	267	0.0268	0.2915	0.1656	425.0	425.0	7.726	50.32		0.675	45689.314	9.185	0.062	0.057	45.442	6.532	38.0	44.0	0.09	0.105	0.867	1.952			26.0	26.0	97.2	B (97%)	Mesophilic, Non-halophilic (73%)	Mesophilic (87%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Pseudomonadota (82%)	Gammaproteobacteria (47%)	P (100%)	Q (100%)
8	467	0.0468	0.3788	0.1145	395.0	395.0	7.623	44.53		1.008	44353.196	4.942	-0.239	0.094	38.827	-18.839	60.0	42.0	0.152	0.107	1.452	1.173			30.9	30.9	99.7	B (100%)	Non-halophilic (33%)	Mesophilic (68%)	Free living (97%)	Non-disease (76%)	o (100%)	ok (100%)	Bacteria (100%)	Bacillota (100%)	Bacilli (100%)	P (100%)	Q (100%)
9	1241	0.1244	0.1315	0.0916	399.0	399.0	7.448	52.66		0.523	43035.041	4.929	-0.099	0.071	42.201	-19.288	54.0	34.0	0.136	0.085	1.583	3.059			69.6	69.6	98.8	B (100%)	Moderate halophilic (50%)	Mesophilic (100%)	Free living (100%)	Scab disease (100%)	o (100%)	ok (100%)	Bacteria (100%)	Actinomycetota (98%)	Actinomycetes (98%)	P (100%)	Q (100%)
10	165	0.0165	0.5304	0.1344	424.0	424.0	7.724	46.8		0.98	46407.762	7.698	0.006	0.079	39.439	1.606	36.0	36.0	0.086	0.086	0.971	0.776			25.5	25.5	95.9	B (100%)	Moderate halophilic (67%)	Mesophilic (100%)	Free living (100%)		o (100%)	ok (100%)	Bacteria (100%)	Cyanobacteriota (95%)	Cyanophyceae (94%)	P (100%)	Q (100%)
11	137	0.0137	0.2188	0.1685	432.0	432.0	7.569	59.89		0.727	46768.522	9.63	0.004	0.059	45.946	6.866	41.0	48.0	0.095	0.111	0.87	2.263	0.886	0.869	38.0	38.0	94.3	B (100%)	Mesophilic, Moderate halophilic, Non-halophilic (100%)	Mesophilic (100%)	Free living (100%)		o (100%)	ok (99%)	Bacteria (99%)	Myxococcota (44%)	Myxococcia (48%)	P (100%)	Q (100%)
